Time (ms),Voltage (V)
4.33937906,-0.09698782
4.34193906,-0.09698782
4.34449906,-0.09698782
4.34705906,-0.09698782
4.34961906,-0.09698782
4.35217906,-0.09698782
4.35473906,-0.09698782
4.35729906,-0.09698782
4.35985906,-0.09698782
4.36241906,-0.09698782
4.36497906,-0.09698782
4.36753906,-0.09698782
4.37009906,-0.09698782
4.37265906,-0.09698782
4.37521906,-0.09698782
4.37777906,-0.09698782
4.38033906,-0.08807642
4.38289906,-0.08807642
4.38545906,-0.07913449
4.38801906,-0.07913449
4.39057906,-0.08807642
4.39313906,-0.07913449
4.39569906,-0.07913449
4.39825906,-0.07913449
4.40081906,-0.07913449
4.40337906,-0.07913449
4.40593906,-0.07913449
4.40849906,-0.07913449
4.41105906,-0.07913449
4.41361906,-0.07913449
4.41617906,-0.07913449
4.41873906,-0.07913449
4.42129906,-0.07913449
4.42385906,-0.07913449
4.42641906,-0.07022309
4.42897906,-0.07913449
4.43153906,-0.07913449
4.43409906,-0.07022309
4.43665906,-0.07913449
4.43921906,-0.07022309
4.44177906,-0.07022309
4.44433906,-0.07022309
4.44689906,-0.07022309
4.44945906,-0.07022309
4.45201906,-0.07913449
4.45457906,-0.07022309
4.45713906,-0.07913449
4.45969906,-0.07913449
4.46225906,-0.07913449
4.46481906,-0.07022309
4.46737906,-0.07022309
4.46993906,-0.06131168
4.47249906,-0.06131168
4.47505906,-0.06131168
4.47761906,-0.06131168
4.48017906,-0.06131168
4.48273906,-0.07022309
4.48529906,-0.06131168
4.48785906,-0.06131168
4.49041906,-0.06131168
4.49297906,-0.06131168
4.49553906,-0.06131168
4.49809906,-0.06131168
4.50065906,-0.06131168
4.50321906,-0.06131168
4.50577906,-0.06131168
4.50833906,-0.06131168
4.51089906,-0.06131168
4.51345906,-0.06131168
4.51601906,-0.06131168
4.51857906,-0.06131168
4.52113906,-0.06131168
4.52369906,-0.06131168
4.52625906,-0.06131168
4.52881906,-0.06131168
4.53137906,-0.06131168
4.53393906,-0.06131168
4.53649906,-0.06131168
4.53905906,-0.06131168
4.54161906,-0.06131168
4.54417906,-0.06131168
4.54673906,-0.06131168
4.54929906,-0.06131168
4.55185906,-0.06131168
4.55441906,-0.06131168
4.55697906,-0.06131168
4.55953906,-0.06131168
4.56209906,-0.06131168
4.56465906,-0.04345836
4.56721906,-0.04345836
4.56977906,-0.05236976
4.57233906,-0.04345836
4.57489906,-0.04345836
4.57745906,-0.04345836
4.58001906,-0.05236976
4.58257906,-0.06131168
4.58513906,-0.06131168
4.58769906,-0.04345836
4.59025906,-0.04345836
4.59281906,-0.05236976
4.59537906,-0.05236976
4.59793906,-0.04345836
4.60049906,-0.04345836
4.60305906,-0.04345836
4.60561906,-0.04345836
4.60817906,-0.04345836
4.61073906,-0.04345836
4.61329906,-0.04345836
4.61585906,-0.04345836
4.61841906,-0.04345836
4.62097906,-0.04345836
4.62353906,-0.04345836
4.62609906,-0.03454695
4.62865906,-0.03454695
4.63121906,-0.04345836
4.63377906,-0.04345836
4.63633906,-0.03454695
4.63889906,-0.04345836
4.64145906,-0.04345836
4.64401906,-0.04345836
4.64657906,-0.04345836
4.64913906,-0.04345836
4.65169906,-0.04345836
4.65425906,-0.04345836
4.65681906,-0.04345836
4.65937906,-0.04345836
4.66193906,-0.04345836
4.66449906,-0.03454695
4.66705906,-0.04345836
4.66961906,-0.04345836
4.67217906,-0.04345836
4.67473906,-0.04345836
4.67729906,-0.04345836
4.67985906,-0.04345836
4.68241906,-0.04345836
4.68497906,-0.04345836
4.68753906,-0.04345836
4.69009906,-0.05236976
4.69265906,-0.05236976
4.69521906,-0.05236976
4.69777906,-0.06131168
4.70033906,-0.06131168
4.70289906,-0.05236976
4.70545906,-0.05236976
4.70801906,-0.04345836
4.71057906,-0.05236976
4.71313906,-0.05236976
4.71569906,-0.06131168
4.71825906,-0.06131168
4.72081906,-0.06131168
4.72337906,-0.06131168
4.72593906,-0.05236976
4.72849906,-0.05236976
4.73105906,-0.05236976
4.73361906,-0.05236976
4.73617906,-0.05236976
4.73873906,-0.05236976
4.74129906,-0.04345836
4.74385906,-0.04345836
4.74641906,-0.04345836
4.74897906,-0.04345836
4.75153906,-0.04345836
4.75409906,-0.04345836
4.75665906,-0.04345836
4.75921906,-0.04345836
